X     Y     River     Chainage
401983.750    491117.969    MAHAWATTA ELA    1505.388  
401984.156    491122.875    MAHAWATTA ELA    1510.301  
401984.594    491127.781    MAHAWATTA ELA    1515.214  
401985.000    491132.656    MAHAWATTA ELA    1520.127  
401985.438    491137.563    MAHAWATTA ELA    1525.040  
401985.875    491142.469    MAHAWATTA ELA    1529.953  
401986.281    491147.344    MAHAWATTA ELA    1534.866  
401986.719    491152.250    MAHAWATTA ELA    1539.779  
401987.156    491157.125    MAHAWATTA ELA    1544.692  
401987.563    491162.031    MAHAWATTA ELA    1549.605  
401988.000    491166.938    MAHAWATTA ELA    1554.518  
401988.406    491171.813    MAHAWATTA ELA    1559.431  
401988.844    491176.719    MAHAWATTA ELA    1564.344  
401989.281    491181.625    MAHAWATTA ELA    1569.257  
401989.688    491186.500    MAHAWATTA ELA    1574.170  
401989.313    491191.156    MAHAWATTA ELA    1579.033  
401986.813    491195.344    MAHAWATTA ELA    1583.896  
401984.313    491199.500    MAHAWATTA ELA    1588.760  
401981.781    491203.688    MAHAWATTA ELA    1593.623  
401979.281    491207.844    MAHAWATTA ELA    1598.486  
401976.781    491212.000    MAHAWATTA ELA    1603.349  
401974.281    491216.188    MAHAWATTA ELA    1608.212  
401971.781    491220.344    MAHAWATTA ELA    1613.075  
401969.281    491224.531    MAHAWATTA ELA    1617.939  
401966.781    491228.688    MAHAWATTA ELA    1622.802  
401964.281    491232.875    MAHAWATTA ELA    1627.665  
401961.781    491237.031    MAHAWATTA ELA    1632.528  
401959.281    491241.219    MAHAWATTA ELA    1637.391  
401956.781    491245.375    MAHAWATTA ELA    1642.255  
401954.281    491249.531    MAHAWATTA ELA    1647.118  
401951.781    491253.719    MAHAWATTA ELA    1651.981  
401949.281    491257.875    MAHAWATTA ELA    1656.844  
401946.781    491262.063    MAHAWATTA ELA    1661.707  
401944.250    491266.219    MAHAWATTA ELA    1666.570  
